Dates,Events
06/03/20,First confirmed case
09/03/20,Cancellation of massive venues
09/03/20,Mandatory remote working for public servants
15/03/20,Closing of discotheques
16/03/20,Declaration of the state of alarm
17/03/20,Closing of schools
15/04/20,Closing of the border
27/04/20,Announce of tightening of measures
16/05/20,Start of the anuncing measures
01/08/20,Re-start of commercial flights
19/10/20,100000 confirmed cases
14/01/21,Start of the vaccination
20/09/21,Peak of deaths in a day (240)
